x,y,z,qx,qy,qz,qw
-0.44,-0.0413,1.2043,0.9619454159497827,0.0,0.0,-0.27324168191035514
-0.44,0.15990000000000001,1.269,0.9994138882526921,0.0,0.0,-0.03423273240095908
-0.44,0.1012,1.261,0.9948444244647998,0.0,0.0,-0.10141287448495492
-0.44,0.0471,1.2462,0.9863606394161942,0.0,0.0,-0.1645985692844155
-0.44,-0.0005999999999999894,1.2266,0.9750215840545003,0.0,0.0,-0.2221101317541661
-0.44,-0.10499999999999998,1.1564,0.9332413302049095,0.0,0.0,-0.3592500794674523
-0.44,-0.16959999999999997,1.0836,0.8877912820973453,0.0,0.0,-0.46024628127987316
-0.44,-0.22099999999999997,0.987,0.8236671343329631,0.0,0.0,-0.5670735858949213
-0.44,-0.2471,0.8806999999999999,0.7467230579493401,0.0,0.0,-0.6651350800602738
-0.4099,-0.249,0.83,0.7067001126435577,0.024196970368333258,-0.024198498378560564,-0.7066851421183268
-0.40800000000000003,-0.2364,0.9336,0.7854234026006222,0.02899086666277537,-0.023480720429795175,-0.6178335245561704
-0.40800000000000003,-0.19690000000000002,1.0371,0.8568749010768891,0.03314185463605283,-0.022547046091946337,-0.5139636680625215
-0.4099,-0.1372,1.1226,0.911728835210722,0.0357678238962504,-0.02148346670359569,-0.408668147128477
-0.4128,-0.07190000000000002,1.1824999999999999,0.9482809444767067,0.03673304973453164,-0.020402897440744715,-0.3146389282583895
-0.3779,-0.24269999999999997,0.8802,0.7444711690866626,0.05296259167923226,-0.04754985234964035,-0.6638498729553877
-0.376,-0.2167,0.9853,0.8201312175695555,0.061964163254384814,-0.04581864478918466,-0.566961974236143
-0.3779,-0.16599999999999998,1.081,0.8834481080574497,0.06890559052569044,-0.043886507231764446,-0.46135174698597925
-0.38280000000000003,-0.10249999999999998,1.1537,0.9287528817960667,0.07251152958408244,-0.041783070735595736,-0.3611292533605969
-0.39590000000000003,-0.027900000000000008,1.2097,0.9629692150116871,0.06454456985247904,-0.03465008649806455,-0.2594680345399218
-0.3512,-0.241,0.83,0.7034555964186874,0.07171735847089578,-0.07171521921091539,-0.7034655440707217
-0.346,-0.2277,0.9314,0.7797096173568485,0.0854294695575078,-0.06944921488852535,-0.6163858571412285
-0.346,-0.189,1.0329,0.8491457224070095,0.09745177629515209,-0.06669914101276586,-0.514787255089864
-0.39339999999999997,0.017100000000000004,1.2319,0.9753025058468837,0.07413288490395614,-0.0387539868903888,-0.20441982771909756
